Work experience,Education,Company size,Amount,Designation,Currency,Status,Year
7_to_9,bachelors_degree,below_10,1240200,senior_software_engineer,LKR,approved,2022
7_to_9,masters,10_to_20,165000,business_analyst,LKR,approved,2022
7_to_9,higher_diploma,more_than_500,352000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,10_to_20,355100,associate_technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,120000,associate_qa_engineer,LKR,approved,2022
7_to_9,higher_diploma,20_to_50,471064,product_manager,LKR,approved,2022
1_to_3,higher_diploma,100_to_500,6276,software_engineer,LKR,approved,2022
1_to_3,higher_diploma,100_to_500,167360,software_engineer,LKR,approved,2022
1_to_3,higher_diploma,100_to_500,224000,software_engineer,LKR,approved,2022
4_to_6,masters,50_to_100,300000,senior_functional_consultant,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,150000,senior_system_engineer,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,107000,associate_devops_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,494000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,422304,technical_lead,LKR,approved,2022
0_to_1,bachelors_degree,20_to_50,85000,associate_software_engineer,LKR,approved,2022
4_to_6,diploma,50_to_100,125000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,1638800,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,440000,technical_lead,LKR,approved,2022
10_to_14,masters,100_to_500,280000,senior_qa_lead,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,288000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,200000,associate_technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,130000,business_analyst,LKR,approved,2022
4_to_6,bachelors_degree,below_10,130000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,below_10,200000,senior_software_engineer,LKR,approved,2022
4_to_6,masters,100_to_500,290000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,10_to_20,640000,technical_lead,LKR,approved,2021
1_to_3,bachelors_degree,50_to_100,160000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,180000,software_engineer,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,200000,associate_technical_lead,LKR,approved,2022
7_to_9,bachelors_degree,50_to_100,560000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,75000,associate_software_engineer,LKR,approved,2022
10_to_14,higher_diploma,100_to_500,752000,technical_lead,LKR,approved,2022
7_to_9,bachelors_degree,50_to_100,204580,project_manager,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,175000,soc_engineer,LKR,approved,2022
10_to_14,masters,20_to_50,282000,project_manager,LKR,approved,2021
4_to_6,bachelors_degree,100_to_500,158000,associate_project_manager,LKR,approved,2018
10_to_14,masters,20_to_50,320000,project_manager,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,128000,qa_lead,LKR,approved,2017
1_to_3,bachelors_degree,more_than_500,512000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,20_to_50,352960,senior_qa_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,180000,senior_qa_engineer,LKR,approved,2022
7_to_9,bachelors_degree,20_to_50,400000,associate_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,270000,senior_qa_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,306800,senior_software_engineer,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,140000,senior_business_analyst,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,180000,senior_qa_engineer,LKR,approved,2022
7_to_9,masters,50_to_100,300000,system_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,300000,senior_software_engineer,LKR,approved,2022
